,id,duration,start_date,start_station,end_date,end_station,bike_number,sub_type,zip_code,birth_date,gender
56,57,2702,2011-07-28 12:25:00,22,2011-07-28 13:10:00,14,B00058,Registered,'01876,1963.0,Female
57,58,714,2011-07-28 12:26:00,36,2011-07-28 12:38:00,39,B00170,Registered,'02116,1983.0,Male
58,59,674,2011-07-28 12:27:00,36,2011-07-28 12:38:00,39,B00543,Registered,'02116,1981.0,Female
59,60,531,2011-07-28 12:30:00,46,2011-07-28 12:38:00,46,B00147,Registered,'02118,1987.0,Female
60,61,1315,2011-07-28 12:33:00,36,2011-07-28 12:55:00,38,B00228,Casual,,,
61,62,50,2011-07-28 12:31:00,3,2011-07-28 12:32:00,3,B00071,Registered,'02118,1967.0,Male
62,63,659,2011-07-28 12:32:00,34,2011-07-28 12:43:00,36,B00139,Registered,'02143,1969.0,Male
63,64,15,2011-07-28 12:32:00,23,2011-07-28 12:32:00,23,B00062,Registered,'97214,1983.0,Female
64,65,2656,2011-07-28 12:37:00,23,2011-07-28 13:21:00,38,B00062,Casual,,,
65,66,340,2011-07-28 12:37:00,10,2011-07-28 12:43:00,41,B00454,Registered,'02492,1975.0,Male
66,67,427,2011-07-28 12:39:00,42,2011-07-28 12:46:00,36,B00279,Registered,'01720,1966.0,Male
67,68,735,2011-07-28 12:42:00,16,2011-07-28 12:54:00,22,B00462,Registered,'02140,1966.0,Male
68,69,3584,2011-07-28 12:43:00,20,2011-07-28 13:43:00,43,B00550,Registered,'01867,1959.0,Female
69,70,2106,2011-07-28 12:43:00,20,2011-07-28 13:18:00,43,B00539,Registered,'01867,1994.0,Female
70,71,3485,2011-07-28 12:44:00,20,2011-07-28 13:42:00,43,B00580,Registered,'01867,1956.0,Male
71,72,955,2011-07-28 12:45:00,42,2011-07-28 13:01:00,10,B00189,Registered,'02127,1968.0,Male
72,73,515,2011-07-28 12:46:00,36,2011-07-28 12:54:00,49,B00426,Registered,'02116,1982.0,Female
73,74,2775,2011-07-28 12:46:00,25,2011-07-28 13:32:00,39,B00404,Registered,'02446,1982.0,Male
74,75,2983,2011-07-28 12:52:00,40,2011-07-28 13:42:00,44,B00258,Casual,,,
75,76,3002,2011-07-28 12:52:00,40,2011-07-28 13:42:00,44,B00442,Casual,,,
76,77,515,2011-07-28 12:56:00,36,2011-07-28 13:05:00,34,B00279,Registered,'02143,1969.0,Male
77,78,2020,2011-07-28 12:59:00,36,2011-07-28 13:33:00,36,B00139,Casual,,,
78,79,1385,2011-07-28 13:01:00,36,2011-07-28 13:24:00,38,B00316,Casual,,,
79,80,165,2011-07-28 13:02:00,39,2011-07-28 13:05:00,39,B00543,Registered,'02143,1981.0,Male
80,81,172,2011-07-28 13:04:00,31,2011-07-28 13:06:00,43,B00069,Registered,'01890,1978.0,Male
81,82,35,2011-07-28 13:05:00,35,2011-07-28 13:05:00,35,B00032,Registered,'02118,1982.0,Male
82,83,586,2011-07-28 13:05:00,39,2011-07-28 13:15:00,36,B00170,Registered,'02116,1983.0,Male
83,84,545,2011-07-28 13:05:00,5,2011-07-28 13:14:00,5,B00227,Registered,'02139,1986.0,Male
84,85,125,2011-07-28 13:05:00,48,2011-07-28 13:07:00,48,B00261,Registered,'01719,1971.0,Male
85,86,26,2011-07-28 13:05:00,35,2011-07-28 13:06:00,35,B00032,Registered,'02118,1982.0,Male
86,87,541,2011-07-28 13:06:00,39,2011-07-28 13:15:00,36,B00543,Registered,'02116,1981.0,Female
87,88,4,2011-07-28 13:09:00,23,2011-07-28 13:09:00,23,B00546,Registered,'02135,1982.0,Male
88,89,1126,2011-07-28 13:12:00,22,2011-07-28 13:31:00,23,B00406,Casual,,,
89,90,3747,2011-07-28 13:14:00,22,2011-07-28 14:16:00,10,B00231,Registered,'97214,1983.0,Female
90,91,1772,2011-07-28 13:16:00,41,2011-07-28 13:46:00,23,B00454,Casual,,,
91,92,300,2011-07-28 13:15:00,36,2011-07-28 13:20:00,42,B00170,Registered,'01720,1966.0,Male
92,93,394,2011-07-28 13:16:00,10,2011-07-28 13:23:00,32,B00189,Registered,'02492,1975.0,Male
93,94,16,2011-07-28 13:18:00,31,2011-07-28 13:18:00,31,B00298,Registered,'02138,1972.0,Female
94,95,1472,2011-07-28 13:18:00,16,2011-07-28 13:43:00,38,B00131,Registered,'02143,1981.0,Male
95,96,303,2011-07-28 13:18:00,5,2011-07-28 13:23:00,5,B00020,Registered,'02139,1986.0,Male
96,97,1840,2011-07-28 13:21:00,40,2011-07-28 13:52:00,40,B00488,Registered,'01760,1968.0,Male
97,98,817,2011-07-28 13:21:00,43,2011-07-28 13:35:00,43,B00539,Registered,'01867,1994.0,Female
98,99,402,2011-07-28 13:23:00,38,2011-07-28 13:29:00,47,B00394,Registered,'02130,1975.0,Male
99,100,389,2011-07-28 13:25:00,23,2011-07-28 13:32:00,44,B00392,Registered,'02143,1985.0,Male
100,101,397,2011-07-28 13:25:00,23,2011-07-28 13:32:00,44,B00468,Registered,'02143,1986.0,Female
101,102,953,2011-07-28 13:28:00,46,2011-07-28 13:43:00,45,B00147,Registered,'02139,1986.0,Male
102,103,34,2011-07-28 13:35:00,43,2011-07-28 13:36:00,43,B00069,Registered,'02140,1966.0,Male
103,104,650,2011-07-28 13:38:00,23,2011-07-28 13:49:00,23,B00111,Casual,,,
104,105,881,2011-07-28 13:45:00,14,2011-07-28 13:59:00,45,B00198,Casual,,,
105,106,862,2011-07-28 13:45:00,14,2011-07-28 13:59:00,45,B00058,Registered,'01876,1963.0,Female
